country,type,consumption,year,price,revenue,profit,margin,market_share
Angola,Robusta/Arabica,1200000,1991,87.68636322021484,105223635.86425781,105130302.53092448,0.9991130003010565,0.001025156783634151
Angola,Robusta/Arabica,1800000,1992,87.68636322021484,157835453.79638672,157712120.46305338,0.9992185955033116,0.0014830856308430793
Angola,Robusta/Arabica,2100000,1993,87.68636322021484,184141362.76245117,184003029.42911783,0.9992487655610989,0.0016705286106184908
Angola,Robusta/Arabica,1200000,1994,87.68636322021484,105223635.86425781,105130302.53092448,0.9991130003010565,0.0009479613758825165
Angola,Robusta/Arabica,1500000,1995,87.68636322021484,131529544.83032227,131421211.49698894,0.9991763574224097,0.0011704028891910297
Angola,Robusta/Arabica,600000,1996,87.68636322021484,52611817.932128906,52548484.59879557,0.9987962146942909,0.00044242752550461954
Angola,Robusta/Arabica,1200000,1997,87.68636322021484,105223635.86425781,105130302.53092448,0.9991130003010565,0.0008506081210109137
Angola,Robusta/Arabica,2400000,1998,87.68636322021484,210447271.72851562,210293938.39518228,0.9992713931044392,0.0016480546374390045
Angola,Robusta/Arabica,1800000,1999,87.68636322021484,157835453.79638672,157712120.46305338,0.9992185955033116,0.001194429515181458
Angola,Robusta/Arabica,1200000,2000,87.68636322021484,105223635.86425781,105130302.53092448,0.9991130003010565,0.000776964403958556
Angola,Robusta/Arabica,1200000,2001,53.27000007629395,63924000.091552734,63830666.7582194,0.9985399328390016,0.0007388754360196307
Angola,Robusta/Arabica,1200000,2002,52.69999961853027,63239999.54223633,63146666.20890299,0.9985241408284483,0.0007064893519691095
Angola,Robusta/Arabica,1200000,2003,61.504545731977984,73805454.87837358,73712121.54504025,0.9987354141575696,0.0006956093243786618
Angola,Robusta/Arabica,900000,2004,79.64499969482422,71680499.7253418,71602166.39200847,0.9989071876781903,0.0005028043409311091
Angola,Robusta/Arabica,900000,2005,106.52727300470525,95874545.70423472,95796212.37090139,0.9991829600572505,0.0004775065904663772
Angola,Robusta/Arabica,900000,2006,108.13499908447265,97321499.17602539,97243165.84269206,0.9991951076175712,0.00045258452921252104
Angola,Robusta/Arabica,1800000,2007,119.22999877929688,214613997.80273438,214490664.46940103,0.9994253248408955,0.0008577906115961281
Angola,Robusta/Arabica,1800000,2008,131.76818154074928,237182726.77334872,237059393.44001538,0.9994800071024936,0.000812762803465989
Angola,Robusta/Arabica,1800000,2009,126.28888871934679,227319999.69482422,227196666.36149088,0.9994574461837985,0.0007811975946613581
Angola,Robusta/Arabica,1800000,2010,166.79999889026988,300239998.00248575,300116664.66915244,0.9995892175121441,0.0007556784702972013
Angola,Robusta/Arabica,1800000,2011,253.68182095614347,456627277.72105825,456503944.38772494,0.9997299037106393,0.0007203540107750553
Angola,Robusta/Arabica,1800000,2012,166.10555521647134,298989999.38964844,298866666.0563151,0.999587500138516,0.0006945653181032755
Angola,Robusta/Arabica,1800000,2013,125.5099983215332,225917996.97875977,225794663.64542642,0.9994540792013797,0.0006718546837442273
Angola,Robusta/Arabica,1800000,2014,180.8045460094105,325448182.8169389,325324849.48360556,0.9996210354217812,0.0006619028196927739
Angola,Robusta/Arabica,1800000,2015,130.00555419921875,234009997.55859375,233886664.2252604,0.9994729569906411,0.0006455264639491222
Angola,Robusta/Arabica,1800000,2016,137.61363567005503,247704544.20609906,247581210.87276572,0.9995020949909149,0.0006335904302501415
Angola,Robusta/Arabica,1800000,2017,131.24000091552733,236232001.6479492,236108668.31461585,0.9994779143703099,0.000620678905869873
Angola,Robusta/Arabica,1800000,2018,111.45999908447266,200627998.35205078,200504665.01871744,0.9993852636005622,0.0006037940485872266
Angola,Robusta/Arabica,1800000,2019,101.40499954223633,182528999.1760254,182405665.84269205,0.9993243082803823,0.0005970784473906418
Angola,Robusta/Arabica,1800000,2020,110.61000061035156,199098001.0986328,198974667.76529947,0.9993805395701977,0.0006002217939573031
