Price,Close,High,Low,Open,Volume
Ticker,KC=F,KC=F,KC=F,KC=F,KC=F
Date,,,,,
2000-01-01,111.0999984741211,126.0,110.5,124.0,120093
2000-02-01,99.9000015258789,114.5,98.0,110.5999984741211,98735
2000-03-01,103.69999694824219,109.0,100.25,101.25,39103
2000-04-01,95.30000305175781,103.69999694824219,91.94999694824219,103.5,96501
2000-05-01,93.0,104.69999694824219,90.3499984741211,99.0,62559
2000-06-01,84.8499984741211,97.25,84.0,94.0,98052
2000-07-01,86.44999694824219,119.0,79.75,85.4000015258789,39951
2000-08-01,74.5,87.75,73.5,86.5,68261
2000-09-01,83.0,84.4000015258789,72.19999694824219,75.5,51363
2000-11-01,67.19999694824219,75.94999694824219,67.1500015258789,75.0,75321
2000-12-01,65.55000305175781,69.0,61.54999923706055,68.19999694824219,37661
2001-01-01,63.75,72.5,62.0,65.25,128585
2001-02-01,63.900001525878906,65.5,59.25,64.0,62732
2001-03-01,60.29999923706055,66.80000305175781,58.849998474121094,64.25,42951
2001-05-01,57.150001525878906,66.80000305175781,57.099998474121094,62.5,53880
2001-06-01,56.099998474121094,61.70000076293945,54.099998474121094,58.25,70464
2001-08-01,50.5,54.900001525878906,48.099998474121094,51.70000076293945,100213
2001-09-01,48.29999923706055,50.400001525878906,46.25,50.0,25760
2001-10-01,43.900001525878906,48.0,42.20000076293945,47.75,95850
2001-11-01,42.599998474121094,50.0,41.900001525878906,43.70000076293945,83820
2001-12-01,46.20000076293945,50.0,41.5,42.5,49739
2002-01-01,45.099998474121094,51.599998474121094,44.5,45.75,125710
2002-02-01,44.75,50.5,42.70000076293945,44.25,84229
2002-03-01,57.20000076293945,57.400001525878906,44.95000076293945,45.0,55395
2002-04-01,50.70000076293945,59.70000076293945,48.5,56.5,107224
2002-05-01,51.900001525878906,53.099998474121094,46.75,50.5,41792
2002-06-01,46.5,52.0,46.099998474121094,52.0,77401
2002-07-01,46.79999923706055,51.900001525878906,46.5,46.5,36806
2002-08-01,51.5,51.75,46.0,46.5,90257
2002-10-01,65.94999694824219,73.5,54.25,54.25,168354
2002-11-01,66.5999984741211,69.0,62.75,65.3499984741211,87838
2003-01-01,65.30000305175781,69.5,60.25,60.5,142029
2003-02-01,56.849998474121094,67.25,56.79999923706055,64.9000015258789,92525
2003-03-01,58.650001525878906,61.5,55.29999923706055,56.5,49978
2003-04-01,68.25,68.25,57.0,58.75,121329
2003-05-01,58.349998474121094,70.0,58.099998474121094,68.69999694824219,89647
2003-07-01,63.45000076293945,64.0999984741211,58.0,59.0,85020
2003-08-01,61.45000076293945,66.75,59.0,64.0,100274
2003-09-01,62.900001525878906,70.75,60.5,61.900001525878906,66149
2003-10-01,58.650001525878906,66.9000015258789,58.599998474121094,63.5,214528
2003-11-01,57.75,61.20000076293945,56.400001525878906,59.0,115747
2003-12-01,64.94999694824219,65.0,57.599998474121094,57.900001525878906,52216
2004-01-01,75.5,79.19999694824219,64.0,64.75,262005
2004-03-01,73.75,78.0999984741211,70.8499984741211,74.80000305175781,99851
2004-04-01,67.1500015258789,74.4000015258789,66.80000305175781,74.0,136412
