target,model,fold,RMSE,MAE,sMAPE(%),MdAPE(%),MASE,logical_target
consumption,naive,1,70756171.3135156,40566197.40458015,149.0897000866873,99.88235294117646,14.634079666369287,consumption
consumption,snaive,1,70756171.3135156,40566197.40458015,149.0897000866873,99.88235294117646,14.634079666369287,consumption
consumption,ridge,1,55654847.196932375,30137343.703937255,129.79378813222675,246.8182213680738,10.871915952525923,consumption
consumption,lasso,1,57366878.07542924,30548593.88029603,132.25354314838177,199.84286395616985,11.020272668922594,consumption
consumption,rf,1,54364157.073159866,26149533.588927038,113.32458302466652,95.691652617599,9.433330759652414,consumption
consumption,naive,2,78222410.08290234,46201590.676691726,153.63326379617752,99.62307692307692,16.676969305910095,consumption
consumption,snaive,2,78222410.08290234,46201590.676691726,153.63326379617752,99.62307692307692,16.676969305910095,consumption
consumption,ridge,2,59043566.84079617,31875048.34134355,129.33023769688833,220.98146241672003,11.505647208834384,consumption
consumption,lasso,2,60473561.23534743,32511058.867010634,132.55368443897652,194.69701742823597,11.735222161978514,consumption
consumption,rf,2,58035879.34763997,27916764.205063123,113.9985624976461,99.36463193806459,10.076861271424614,consumption
consumption,naive,3,81691580.09106545,47106000.895522386,149.06298651622762,99.80137601528907,17.16844171319668,consumption
consumption,snaive,3,81691580.09106545,47106000.895522386,149.06298651622762,99.80137601528907,17.16844171319668,consumption
consumption,ridge,3,59537333.85013344,31541437.34936018,124.82702482116939,182.54533490436347,11.495718557896272,consumption
consumption,lasso,3,60218704.251064256,32454648.333692793,127.94252854106385,177.98455560003023,11.828551090021827,consumption
consumption,rf,3,56692741.24199241,26339191.35698077,106.41069356319805,92.43245040497001,9.59968715213186,consumption
consumption,naive,4,74658726.5042407,41235916.266666666,145.6736044488007,99.762,15.044506699015521,consumption
consumption,snaive,4,74658726.5042407,41235916.266666666,145.6736044488007,99.762,15.044506699015521,consumption
consumption,ridge,4,58763396.92818271,31083460.826157477,125.5821289326474,191.90166475357702,11.340486085081341,consumption
consumption,lasso,4,59412906.50720062,32072102.308462538,125.25471765329503,226.1011449133767,11.701181923807892,consumption
consumption,rf,4,57296346.330075026,25941671.258293808,106.01803141236479,96.54335527462537,9.46455620156899,consumption
consumption,naive,5,87276993.82529378,50458682.38235294,160.9547837268825,100.0,18.514456546861034,consumption
consumption,snaive,5,87276993.82529378,50458682.38235294,160.9547837268825,100.0,18.514456546861034,consumption
consumption,ridge,5,60551164.84687515,32376980.368199363,130.88796383255908,337.83830141221836,11.879862252511858,consumption
consumption,lasso,5,61377887.74897346,33410341.19720041,132.29539309299986,303.7246445535999,12.259026219196397,consumption
consumption,rf,5,62451392.00321043,30187850.73684991,116.10321828127235,113.8609885789971,11.076620005162962,consumption
consumption,naive,6,89493178.03164728,52357099.877862595,158.80709219881172,100.0,19.613751340337323,consumption
consumption,snaive,6,89493178.03164728,52357099.877862595,158.80709219881172,100.0,19.613751340337323,consumption
consumption,ridge,6,65565669.35517983,35658616.298659444,134.94075333908364,378.2369121794922,13.35825007217642,consumption
consumption,lasso,6,66623945.21955899,36657385.833664365,137.69811444310142,372.4313315698835,13.732404052278241,consumption
consumption,rf,6,68580610.76609172,34337180.11123631,122.33771664701945,113.10728902523404,12.86322034645245,consumption
consumption,naive,7,90398173.38486767,53333975.54545455,157.2355530819648,99.98765294299513,20.511031021882257,consumption
consumption,snaive,7,90398173.38486767,53333975.54545455,157.2355530819648,99.98765294299513,20.511031021882257,consumption
consumption,ridge,7,68850864.72974946,37881226.11096868,135.50714918997383,371.2388439891887,14.568255899971703,consumption
consumption,lasso,7,70293337.07909603,39114286.19151154,139.1816305231776,393.33240685376853,15.04246269414373,consumption
consumption,rf,7,71750101.79149967,37253808.351199396,124.13132775572195,138.41340068345542,14.326965334198299,consumption
price,naive,1,95.77704166289624,90.9139601799892,45.35228630206645,52.723261197099255,4.1310741543385285,price
price,snaive,1,95.77704166289624,90.9139601799892,45.35228630206645,52.723261197099255,4.1310741543385285,price
price,ridge,1,63.06017749369471,58.43881177276972,44.55020298037392,42.75375940895644,2.6554234844329248,price
price,lasso,1,62.53785891105718,57.80751266399069,43.91632949811733,42.298073017410495,2.626737643152105,price
price,rf,1,55.61182957849381,49.71931347718381,36.708793803587604,34.848390902393646,2.259214871626041,price
price,naive,2,42.49473390517178,35.706647428354806,22.723750544718616,27.768045172849646,1.6919850979044317,price
price,snaive,2,42.49473390517178,35.706647428354806,22.723750544718616,27.768045172849646,1.6919850979044317,price
price,ridge,2,47.769443175479424,39.106842339018,29.860607217223684,19.74529783567491,1.853105772433065,price
price,lasso,2,47.89569806270439,39.42329689799379,30.13081492863734,20.038782970730587,1.8681011986775844,price
price,rf,2,42.94965739788114,32.38417562520165,23.963378098500957,16.001901789575708,1.5345473885697074,price
price,naive,3,42.51893543656049,29.152547642204457,18.22017983813236,8.79537648256146,1.4453771811434093,price
price,snaive,3,42.51893543656049,29.152547642204457,18.22017983813236,8.79537648256146,1.4453771811434093,price
price,ridge,3,46.07578894590842,35.641798621544176,26.180770987692053,13.438292716384753,1.7671128799703437,price
price,lasso,3,46.07938064545044,35.82691567176773,26.360708961599688,14.251255394978141,1.776290944389192,price
price,rf,3,41.816740822276046,31.059566255179465,22.209075466309763,14.668806670890866,1.539926762917162,price
price,naive,4,44.14945878275853,41.83354454220345,26.83154267059219,37.76634010067205,1.7916883740667495,price
price,snaive,4,44.14945878275853,41.83354454220345,26.83154267059219,37.76634010067205,1.7916883740667495,price
price,ridge,4,17.681986146334665,17.2047782604801,13.912785684395967,12.684802846041828,0.7368632403740109,price
price,lasso,4,17.580932771986955,17.178845519761126,13.880296223374419,12.34531225917339,0.7357525673348904,price
price,rf,4,15.470950645770733,12.802473756667297,9.994089444992747,8.266974853243354,0.5483169939371165,price
price,naive,5,11.563674701497948,9.457605533803841,7.589393569364362,5.528581113195466,0.4215800242740846,price
price,snaive,5,11.563674701497948,9.457605533803841,7.589393569364362,5.528581113195466,0.4215800242740846,price
price,ridge,5,15.632920098648158,13.934029249436769,11.443159549581123,10.325249849596233,0.6211200465294427,price
price,lasso,5,15.34376524567078,13.634886065893904,11.158319506778506,10.353677772439621,0.6077855095656554,price
price,rf,5,14.038290883589507,11.186678088915398,8.979816055670863,6.4032906689366715,0.49865476027889694,price
price,naive,6,25.587488074694594,22.398167535912894,18.2860925039839,23.46459429428239,1.0097233761337958,price
price,snaive,6,25.587488074694594,22.398167535912894,18.2860925039839,23.46459429428239,1.0097233761337958,price
price,ridge,6,15.238834035189253,13.560153467614505,11.852447058886522,14.061104852994752,0.6113001841895574,price
price,lasso,6,14.621488725103019,13.021214481832468,11.36769384408831,13.540352924232899,0.5870044782403349,price
price,rf,6,16.02993073236472,12.685563118971976,10.880021832025854,9.063902039341313,0.5718731052488616,price
price,naive,7,23.993755416803562,23.508655550197457,19.70528034830252,18.651116708560156,1.099833309019487,price
price,snaive,7,23.993755416803562,23.508655550197457,19.70528034830252,18.651116708560156,1.099833309019487,price
price,ridge,7,10.054743816733236,9.001936752315725,8.168964176993915,6.9783600572814315,0.4211482815230741,price
price,lasso,7,9.41125965159966,8.382992272173524,7.630958173229906,6.022513992264641,0.3921914679681439,price
price,rf,7,14.430548313778193,10.779264591185767,9.407432144848345,6.758853196403872,0.5042991173530063,price
profit,naive,1,15100154543.557734,8536294543.737979,151.10225266367962,100.00295218642874,11.034890022612384,profit
profit,snaive,1,15100154543.557734,8536294543.737979,151.10225266367962,100.00295218642874,11.034890022612384,profit
profit,ridge,1,9123049491.026197,4491852465.825125,129.87908181744282,132.7696355889024,5.806629293800756,profit
profit,lasso,1,9317675055.564537,4568211421.715931,133.54342455339028,133.3947613165566,5.905338713465132,profit
profit,rf,1,8790284945.075056,4013298039.333086,118.81011376182309,97.69609037301889,5.188000749633678,profit
profit,naive,2,12699218182.619701,7347924754.792807,152.44082055402248,99.65608449977165,9.822408042067106,profit
profit,snaive,2,12699218182.619701,7347924754.792807,152.44082055402248,99.65608449977165,9.822408042067106,profit
