logical_target,model,RMSE_mean,MAE_mean,sMAPE_mean,MdAPE_mean,MASE_mean,folds,rank_sMAPE
consumption,rf,61310175.50766701,29732285.658364337,114.61773331169846,107.05910978899222,10.977320152941656,7,1.0
consumption,ridge,61138120.535407014,32936301.85694656,130.12414942064976,275.65153443194765,12.145733718428271,7,2.0
consumption,lasso,62252460.01666714,33824059.5159769,132.45423026299943,266.87342355358066,12.47416011576417,7,3.0
consumption,naive,81785319.03336182,47322780.43559015,153.49385483650744,99.86520840321965,17.451890899081743,7,4.0
consumption,snaive,81785319.03336182,47322780.43559015,153.49385483650744,99.86520840321965,17.451890899081743,7,5.0
price,rf,28.621135482022023,22.945290701900767,17.448943835133733,13.716017160112203,1.0652618571329702,7,1.0
price,lasso,30.49576914479606,26.46795193905903,20.63501730511793,16.978566904461395,1.2276948299039865,7,2.0
price,ridge,30.78769910171255,26.69833578045414,20.85270537930674,17.140981080990052,1.2380105556360597,7,3.0
price,naive,40.86929828291188,36.13873263038087,22.672646539594343,24.956759295602918,1.655894502411498,7,4.0
price,snaive,40.86929828291188,36.13873263038087,22.672646539594343,24.956759295602918,1.655894502411498,7,5.0
profit,rf,8136255582.629328,3909981408.7049584,118.44875037921041,139.33328564002974,5.109678792856578,7,1.0
profit,ridge,8178171311.226331,4288633551.264096,130.7166291409358,253.69488559355653,5.604429008280827,7,2.0
profit,lasso,8316600696.9068575,4443325928.89837,135.1376762739678,246.66289247845734,5.806346604123514,7,3.0
profit,naive,12126222140.769194,6917224062.123134,154.19940446157088,99.93477502904115,9.035930418319783,7,4.0
profit,snaive,12126222140.769194,6917224062.123134,154.19940446157088,99.93477502904115,9.035930418319783,7,5.0
